Utterance,Intent,Training/Testing,ML Entity
how do I see how much is in savings acct,account_balance,Training,
savings balance,account_balance,Training,
whatʻs my balance on my account,account_balance,Training,
I want you to show me the balance on my credit card,account_balance,Training,
give my account total,account_balance,Training,
I canʻt find my up to date balance on the cc,account_balance,Training,
are you able to tell me my available balance,account_balance,Training,
tell me how much money I have in checking,account_balance,Training,
want to see checking acct balance,account_balance,Training,
how much is in my savings account,account_balance,Training,
checking acct balance,account_balance,Training,
what all is in checking at the moment,account_balance,Training,
what do I have in my account right now,account_balance,Training,
whatʻs in savings right now,account_balance,Training,
whatʻs my balance in my account,account_balance,Training,
I want to see balances on my accounts,account_balance,Training,
need to know the balance to make the payment,account_balance,Training,
show the balance on my checking account,account_balance,Training,
balance in my savings account,account_balance,Training,
show amount in my checking account,account_balance,Training,
give balance for my savings,account_balance,Training,
show me tthe amount in my saving account right now,account_balance,Training,
show me my balance so I can decide from which account I will withdraw,account_balance,Training,
show mye my savings acct balance,account_balance,Training,
whatʻs my balance,account_balance,Training,
where can I see how much is in both of my savings accounts,account_balance,Training,
What is the balance of my checking account,account_balance,Training,
trying to figure out my account balances,account_balance,Training,
What's the balance on my savings account?,account_balance,Training,
what's the balance on my checking,account_balance,Training,
check account balance for me,account_balance,Training,
how much is in my checking account,account_balance,Training,
please tell me the balance of my checking accounts,account_balance,Training,
what is my account balance for my savings account,account_balance,Training,
Whatʻs my total in my savings account,account_balance,Training,
need to see account balances,account_balance,Training,
checking balance,account_balance,Training,
give my checking total,account_balance,Training,
account balance,account_balance,Training,
how much money is in savings,account_balance,Training,
balance in my savings acct,account_balance,Training,
show account balance,account_balance,Training,
how do I check my account balance,account_balance,Training,
balance of my checking account,account_balance,Training,
give me my balance for the saving account,account_balance,Training,
checking account balance,account_balance,Training,
are you capable of showing me the account balance for my checking account,account_balance,Training,
how much money is in my checking account,account_balance,Training,
how much is there in my checking account?,account_balance,Training,
balance of my checking account presently,account_balance,Training,
whatʻs my total in checking right now,account_balance,Training,
Where on the app is summary of account balances,account_balance,Training,
Would like to know available balance in savings account,account_balance,Training,
where can I see my current balance on my checking account,account_balance,Training,
find the screen that shows my checking balance,account_balance,Training,
need to know how much is in savings,account_balance,Training,
Direct me to that page that shows how much I've got in savings please,account_balance,Training,
how can I see balance on my saving,account_balance,Training,
whatʻs my balance,account_balance,Training,
balance of savings,account_balance,Training,
balance of checking,account_balance,Training,
need to know my balance,account_balance,Training,
how much money is in my savings account,account_balance,Training,
whatʻs in the checking account right now,account_balance,Training,
tell me how much is in checking right now,account_balance,Training,
what is my account balance,account_balance,Training,
