Synonym/Utterance,Value,Entity,Intent
checking,checking,account_type,account_choice
savings,savings,account_type,account_choice
saving,savings,account_type,account_choice
ways2save,ways2save,account_type,account_choice
ways to save,ways2save,account_type,account_choice
ways 2 save,ways2save,account_type,account_choice
cashwise,cash wise,account_type,account_choice
cash wise,cash wise,account_type,account_choice
debit,debit card,card_type,card_choice
credit card,credit card,card_type,card_choice
cc,credit card,card_type,card_choice
visa,visa,card_type,card_choice
american express,american express,card_type,card_choice
amex,american express,card_type,card_choice
master card,master card,card_type,card_choice
mastercard,master card,card_type,card_choice
propel,propel,card_type,card_choice
all,all,everything,list_choice
everything,all,everything,list_choice
none,none,everything,list_choice
any,none,everything,list_choice
anything,none,everything,list_choice
nothing,none,everything,list_choice
text,text,text_email,text_email
text message,text,text_email,text_email
texts,text,text_email,text_email
cellphone,text,text_email,text_email
cell phone,text,text_email,text_email
sms,text,text_email,text_email
phone,text,text_email,text_email
email,email,text_email,text_email
e mail,email,text_email,text_email
emails,email,text_email,text_email
e mails,email,text_email,text_email
e-mail,email,text_email,text_email
e-mails,email,text_email,text_email
computer,email,text_email,text_email
full,total,pay_amount,pay_amount
total,total,pay_amount,pay_amount
pay it off,total,pay_amount,pay_amount
whole,total,pay_amount,pay_amount
minimum,minimum,pay_amount,pay_amount
min,minimum,pay_amount,pay_amount
lost,lost,lost_stolen,lost_stolen
lose,lost,lost_stolen,lost_stolen
misplace,lost,lost_stolen,lost_stolen
misplaced,lost,lost_stolen,lost_stolen
can't find,lost,lost_stolen,lost_stolen
unable to locate,lost,lost_stolen,lost_stolen
can't locate,lost,lost_stolen,lost_stolen
don't know,lost,lost_stolen,lost_stolen
missing,lost,lost_stolen,lost_stolen
disappear,lost,lost_stolen,lost_stolen
disappeared,lost,lost_stolen,lost_stolen
vanish,lost,lost_stolen,lost_stolen
vanished,lost,lost_stolen,lost_stolen
forgot,lost,lost_stolen,lost_stolen
forget,lost,lost_stolen,lost_stolen
leave,lost,lost_stolen,lost_stolen
left,lost,lost_stolen,lost_stolen
walked away without,lost,lost_stolen,lost_stolen
dropped,lost,lost_stolen,lost_stolen
cant find,lost,lost_stolen,lost_stolen
cant locate,lost,lost_stolen,lost_stolen
cannot be fund,lost,lost_stolen,lost_stolen
can not be found,lost,lost_stolen,lost_stolen
steal,stolen,lost_stolen,lost_stolen
stolen,stolen,lost_stolen,lost_stolen
stole ,stolen,lost_stolen,lost_stolen
rob,stolen,lost_stolen,lost_stolen
robbed,stolen,lost_stolen,lost_stolen
mug,stolen,lost_stolen,lost_stolen
mugged,stolen,lost_stolen,lost_stolen
swipe,stolen,lost_stolen,lost_stolen
swiped,stolen,lost_stolen,lost_stolen
took,stolen,lost_stolen,lost_stolen
take,stolen,lost_stolen,lost_stolen
loot,stolen,lost_stolen,lost_stolen
looted,stolen,lost_stolen,lost_stolen
pilfer,stolen,lost_stolen,lost_stolen
pilfered,stolen,lost_stolen,lost_stolen
ransack,stolen,lost_stolen,lost_stolen
ransacked,stolen,lost_stolen,lost_stolen
burgle,stolen,lost_stolen,lost_stolen
burgled,stolen,lost_stolen,lost_stolen
burglarize,stolen,lost_stolen,lost_stolen
burglarized,stolen,lost_stolen,lost_stolen
lift,stolen,lost_stolen,lost_stolen
lifted,stolen,lost_stolen,lost_stolen
ran off with,stolen,lost_stolen,lost_stolen
made off with,stolen,lost_stolen,lost_stolen
walked off with,stolen,lost_stolen,lost_stolen
larceny,stolen,lost_stolen,lost_stolen
theft,stolen,lost_stolen,lost_stolen
taken,stolen,lost_stolen,lost_stolen
thief,stolen,lost_stolen,lost_stolen
